episode,sample_id,true_label,pred_hd,pred_2d,correct_hd,mismatch,dist_BK_hd,dist_FK_hd,dist_BK_2d,dist_FK_2d
1,12,FK,BK,FK,False,True,0.4356502890586853,0.6433947086334229,86.6804,82.24921
1,11,BK,FK,BK,False,True,0.7420660853385925,0.495794415473938,62.838917,102.46589
2,12,FK,BK,BK,False,False,0.3612147569656372,0.624193549156189,63.349655,75.44663
2,11,BK,FK,BK,False,True,0.6750479936599731,0.5394495129585266,63.748775,75.683914
3,9,FK,FK,BK,True,True,0.6152181625366211,0.6068188548088074,117.41857,193.49771
3,1,BK,FK,BK,False,True,0.9736828207969666,0.6424954533576965,143.95602,176.7051
4,1,BK,BK,FK,True,True,0.6493375301361084,0.863531768321991,148.14714,91.91644
4,2,FK,FK,FK,True,False,0.6716552376747131,0.3984840512275696,47.646408,18.673843
5,11,BK,BK,FK,True,True,0.4193858802318573,0.7267479300498962,181.67136,80.811424
5,10,FK,FK,BK,True,True,0.6081901788711548,0.4003736674785614,119.56558,160.17696
6,8,BK,BK,FK,True,True,0.5213105082511902,0.7639882564544678,96.068085,80.496414
6,12,FK,FK,BK,True,True,0.5970513820648193,0.4919411838054657,56.318924,111.55376
7,12,FK,BK,FK,False,True,0.6004635095596313,0.6259878873825073,92.07952,64.00511
7,1,BK,FK,FK,False,False,0.9736828207969666,0.6374569535255432,30.427563,17.161901
8,5,FK,BK,FK,False,True,0.8519653081893921,1.2583904266357422,55.291878,21.601559
8,4,BK,BK,FK,True,True,0.5944430828094482,0.6701545715332031,173.22357,108.3304
9,5,FK,BK,FK,False,True,1.027777910232544,1.0952389240264893,55.964195,29.883549
9,8,BK,FK,BK,False,True,0.6610507369041443,0.4838232696056366,23.620173,58.512344
10,12,FK,BK,BK,False,False,0.539846658706665,0.6757619976997375,42.49969,68.7104
10,4,BK,BK,BK,True,False,0.5524761080741882,0.6701545715332031,8.702463,22.189598
